centre,year,csi_total,csi_nonviolent,clearance_rate_nonviolent,csi_total_pct_change,csi_nonviolent_pct_change,clearance_rate_nonviolent_pct_change,csi_violent_pct_change,clearance_rate_violent_pct_change,clearance_rate_pct_change,csi_violent,clearance_rate_violent,clearance_rate
Ottawa-Gatineau CMA (Ont. part),2023,54.2,50.22,24.79,3.93,5.59,-2.32,0.86,-2.65,-3.24,65.3,49.99,33.41
Ottawa-Gatineau CMA (Ont. part),2024,54.12,49.36,22.0,-0.15,-1.71,-11.25,2.86,4.08,-2.48,67.17,52.03,32.58
Ottawa-Gatineau CMA (Qué. part),2020,51.07,42.81,34.03,-7.82,-14.04,-6.46,4.39,-3.85,-2.24,73.7,64.72,45.77
Ottawa-Gatineau CMA (Qué. part),2021,49.91,41.38,33.18,-2.27,-3.34,-2.5,-1.89,1.05,1.44,72.31,65.4,46.43
Ottawa-Gatineau CMA (Qué. part),2022,59.94,50.13,31.7,20.1,21.15,-4.46,18.59,-2.19,-3.51,85.75,63.97,44.8
Ottawa-Gatineau CMA (Qué. part),2023,61.96,50.98,32.31,3.37,1.7,1.92,5.81,-1.92,0.36,90.73,62.74,44.96
Ottawa-Gatineau CMA (Qué. part),2024,61.56,49.57,32.17,-0.65,-2.77,-0.43,2.35,-3.19,-1.25,92.86,60.74,44.4
Québec CMA,2020,41.72,36.28,29.1,-4.44,-6.28,-9.66,-0.96,-0.74,-4.18,56.58,61.74,40.83
Québec CMA,2021,42.77,36.11,28.17,2.52,-0.47,-3.2,6.66,-6.62,-2.08,60.35,57.65,39.98
Québec CMA,2022,47.45,39.35,27.26,10.94,8.97,-3.23,13.85,-1.53,-1.48,68.71,56.77,39.39
Québec CMA,2023,53.82,44.35,27.97,13.42,12.71,2.6,14.44,-0.76,0.86,78.63,56.34,39.73
Québec CMA,2024,55.54,46.3,29.14,3.2,4.4,4.18,1.56,-0.04,1.28,79.86,56.32,40.24
Regina CMA,2020,106.96,98.27,33.71,-19.64,-25.41,7.7,-4.11,2.15,9.15,130.4,61.89,42.82
Regina CMA,2021,115.47,103.61,30.27,7.96,5.43,-10.2,13.16,4.86,0.02,147.56,64.9,42.83
Regina CMA,2022,111.17,106.35,25.94,-3.72,2.64,-14.3,-14.9,-9.21,-14.73,125.57,58.92,36.52
Regina CMA,2023,112.73,101.44,29.4,1.4,-4.62,13.34,14.15,4.36,12.21,143.34,61.49,40.98
Regina CMA,2024,99.63,88.96,30.51,-11.62,-12.3,3.78,-10.39,-3.92,-0.05,128.44,59.08,40.96
Saskatoon CMA,2020,108.25,102.55,31.05,-9.77,-9.04,4.62,-11.42,-2.3,1.43,123.38,47.92,36.15
Saskatoon CMA,2021,108.37,102.63,31.84,0.11,0.08,2.54,1.33,-10.1,-1.74,125.02,43.08,35.52
Saskatoon CMA,2022,117.04,109.82,29.72,8.0,7.01,-6.66,10.05,15.48,2.48,137.58,49.75,36.4
Saskatoon CMA,2023,117.13,109.49,31.9,0.08,-0.3,7.34,0.84,-10.33,-0.63,138.74,44.61,36.17
Saskatoon CMA,2024,106.33,93.06,33.25,-9.22,-15.01,4.23,2.18,3.07,5.25,141.77,45.98,38.07
Toronto CMA,2020,46.65,39.26,27.56,-14.34,-14.17,-1.11,-14.64,4.39,1.8,66.88,56.06,38.39
Toronto CMA,2021,45.91,38.31,25.95,-1.59,-2.42,-5.84,-1.45,2.55,1.07,65.91,57.49,38.8
Toronto CMA,2022,52.78,43.79,22.46,14.96,14.3,-13.45,15.87,-1.88,-6.19,76.37,56.41,36.4
Toronto CMA,2023,59.05,51.69,20.44,11.88,18.04,-8.99,3.05,-6.08,-10.03,78.7,52.98,32.75
Toronto CMA,2024,59.43,50.53,21.2,0.64,-2.24,3.72,5.4,-3.61,0.89,82.95,51.07,33.04
Vancouver CMA,2020,88.51,92.33,16.31,-7.04,-7.89,-3.43,-4.11,4.01,0.45,77.3,43.03,22.49
Vancouver CMA,2021,86.88,90.44,15.38,-1.84,-2.05,-5.7,3.26,-11.29,-5.2,79.82,38.17,21.32
Vancouver CMA,2022,92.33,95.8,12.07,6.27,5.93,-21.52,7.23,3.51,-9.52,85.59,39.51,19.29
Vancouver CMA,2023,88.94,93.42,11.99,-3.67,-2.48,-0.66,-6.98,-8.1,-5.81,79.62,36.31,18.17
Vancouver CMA,2024,82.29,85.21,12.68,-7.48,-8.79,5.75,-3.63,-4.27,1.98,76.73,34.76,18.53
Victoria CMA,2020,75.85,76.47,18.77,2.89,-0.44,-1.73,13.87,-11.51,-3.63,73.62,42.82,24.96
Victoria CMA,2021,72.72,69.21,20.67,-4.13,-9.49,10.12,12.78,-2.06,10.42,83.03,41.94,27.56
Victoria CMA,2022,74.92,69.2,18.57,3.03,-0.01,-10.16,9.39,10.3,1.96,90.83,46.26,28.1
Victoria CMA,2023,80.22,83.17,17.24,7.07,20.19,-7.16,-17.97,-15.93,-18.33,74.51,38.89,22.95
Victoria CMA,2024,71.18,67.85,22.0,-11.27,-18.42,27.61,8.71,2.37,20.92,81.0,39.81,27.75
Winnipeg CMA,2020,116.67,102.49,26.09,-11.69,-11.95,12.41,-11.2,2.16,7.05,155.34,51.09,34.91
Winnipeg CMA,2021,114.44,97.7,21.61,-1.91,-4.67,-17.17,2.2,-5.66,-8.11,158.76,48.2,32.08
Winnipeg CMA,2022,136.66,116.21,19.34,19.42,18.95,-10.5,20.12,2.68,-2.49,190.7,49.49,31.28
Winnipeg CMA,2023,130.12,104.9,20.49,-4.79,-9.73,5.95,2.77,-2.06,3.74,195.99,48.47,32.45
Winnipeg CMA,2024,125.16,100.9,23.24,-3.81,-3.81,13.42,-3.82,-2.39,3.33,188.5,47.31,33.53
