centre,vacancy_rental_condo,vacancy_rms,rent_rental_condo,rent_rms,universe_rental_condo,universe_rms,pct_condo_in_rental,year,csi_total,csi_nonviolent,clearance_rate_nonviolent,csi_total_pct_change,csi_nonviolent_pct_change,clearance_rate_nonviolent_pct_change,csi_violent_pct_change,clearance_rate_violent_pct_change,clearance_rate_pct_change,csi_violent,clearance_rate_violent,clearance_rate
Calgary CMA,4.9,6.6,1596.0,1323,26520,41995,37.2,2020,79.96,79.88,22.06,-15.02,-17.52,0.41,-7.16,8.35,5.51,79.64,47.24,28.7
Calgary CMA,4.2,5.1,1524.0,1355,28384,44723,38.8,2021,72.78,68.76,23.42,-8.98,-13.92,6.17,5.96,-5.91,5.71,84.39,44.45,30.34
Calgary CMA,1.8,2.7,1648.0,1466,29003,48285,38.6,2022,77.48,76.6,23.7,6.46,11.4,1.2,-3.63,6.59,1.38,81.33,47.38,30.76
Calgary CMA,1.0,1.4,1819.0,1695,29373,51295,38.4,2023,72.66,68.38,27.02,-6.22,-10.73,14.01,4.39,-3.36,8.06,84.9,45.79,33.24
Calgary CMA,1.3,4.8,1970.0,1882,28844,56441,36.3,2024,63.29,57.64,27.22,-12.9,-15.71,0.74,-7.21,7.62,5.32,78.78,49.28,35.01
Edmonton CMA,4.0,7.2,1372.0,1272,21778,72061,39.0,2020,105.68,103.07,28.7,-8.8,-12.32,-4.68,1.58,3.6,0.26,112.24,52.44,35.38
Edmonton CMA,5.3,7.3,1412.0,1270,22659,75771,40.0,2021,97.4,92.05,28.89,-7.83,-10.69,0.66,0.52,-4.18,1.53,112.82,50.25,35.92
Edmonton CMA,4.1,4.3,1426.0,1304,23444,78791,40.7,2022,101.99,98.9,26.69,4.71,7.44,-7.62,-0.82,-1.79,-6.04,111.89,49.35,33.75
Edmonton CMA,2.5,2.4,1359.0,1398,24647,81705,42.6,2023,106.52,102.45,24.25,4.44,3.59,-9.14,6.29,-1.5,-5.27,118.93,48.61,31.97
Edmonton CMA,2.1,3.1,1466.0,1536,19314,85795,33.4,2024,102.61,101.26,23.8,-3.67,-1.16,-1.86,-9.06,-0.19,-2.44,108.16,48.52,31.19
Halifax CMA,0.9,1.9,1666.0,1255,2005,52244,25.5,2020,62.3,53.96,22.11,2.05,2.72,-21.6,0.84,16.54,-3.49,85.07,53.61,33.51
Halifax CMA,0.0,1.0,1530.0,1335,2188,53347,27.2,2021,66.93,54.73,19.96,7.43,1.43,-9.72,16.22,-23.71,-14.23,98.87,40.9,28.74
Halifax CMA,0.3,1.0,1670.0,1449,2335,54695,28.9,2022,73.08,61.3,20.04,9.19,12.0,0.4,5.3,-3.4,-2.89,104.11,39.51,27.91
Halifax CMA,0.0,1.0,1810.0,1628,2120,55519,26.2,2023,71.83,62.09,19.54,-1.71,1.29,-2.5,-6.12,27.23,12.54,97.74,50.27,31.41
Halifax CMA,0.5,2.1,2334.0,1707,2403,59725,29.4,2024,73.29,65.92,19.41,2.03,6.17,-0.67,-4.55,-1.01,-3.31,93.29,49.76,30.37
Hamilton CMA,0.3,3.5,1947.0,1291,3869,44258,22.4,2020,55.32,47.63,32.54,-7.34,-12.81,6.1,3.99,-4.42,3.35,76.35,55.08,40.78
